,total_boleta,propina,sexo,fumador,dia,hora,nro_clientes
162,16.21,2.0,mujer,no,domingo,cena,3
163,13.81,2.0,hombre,no,domingo,cena,2
164,17.51,3.0,mujer,si,domingo,cena,2
165,24.52,3.48,hombre,no,domingo,cena,3
166,20.76,2.24,hombre,no,domingo,cena,2
167,31.71,4.5,hombre,no,domingo,cena,4
168,10.59,1.61,mujer,si,sabado,cena,2
169,10.63,2.0,mujer,si,sabado,cena,2
170,50.81,10.0,hombre,si,sabado,cena,3
171,15.81,3.16,hombre,si,sabado,cena,2
172,7.25,5.15,hombre,si,domingo,cena,2
173,31.85,3.18,hombre,si,domingo,cena,2
174,16.82,4.0,hombre,si,domingo,cena,2
175,32.9,3.11,hombre,si,domingo,cena,2
176,17.89,2.0,hombre,si,domingo,cena,2
177,14.48,2.0,hombre,si,domingo,cena,2
178,9.6,4.0,mujer,si,domingo,cena,2
179,34.63,3.55,hombre,si,domingo,cena,2
180,34.65,3.68,hombre,si,domingo,cena,4
181,23.33,5.65,hombre,si,domingo,cena,2
182,45.35,3.5,hombre,si,domingo,cena,3
183,23.17,6.5,hombre,si,domingo,cena,4
184,40.55,3.0,hombre,si,domingo,cena,2
185,20.69,5.0,hombre,no,domingo,cena,5
186,20.9,3.5,mujer,si,domingo,cena,3
187,30.46,2.0,hombre,si,domingo,cena,5
188,18.15,3.5,mujer,si,domingo,cena,3
189,23.1,4.0,hombre,si,domingo,cena,3
190,15.69,1.5,hombre,si,domingo,cena,2
191,19.81,4.19,mujer,si,jueves,almuerzo,2
192,28.44,2.56,hombre,si,jueves,almuerzo,2
193,15.48,2.02,hombre,si,jueves,almuerzo,2
194,16.58,4.0,hombre,si,jueves,almuerzo,2
195,7.56,1.44,hombre,no,jueves,almuerzo,2
196,10.34,2.0,hombre,si,jueves,almuerzo,2
197,43.11,5.0,mujer,si,jueves,almuerzo,4
198,13.0,2.0,mujer,si,jueves,almuerzo,2
199,13.51,2.0,hombre,si,jueves,almuerzo,2
200,18.71,4.0,hombre,si,jueves,almuerzo,3
201,12.74,2.01,mujer,si,jueves,almuerzo,2
202,13.0,2.0,mujer,si,jueves,almuerzo,2
203,16.4,2.5,mujer,si,jueves,almuerzo,2
204,20.53,4.0,hombre,si,jueves,almuerzo,4
205,16.47,3.23,mujer,si,jueves,almuerzo,3
206,26.59,3.41,hombre,si,sabado,cena,3
207,38.73,3.0,hombre,si,sabado,cena,4
208,24.27,2.03,hombre,si,sabado,cena,2
209,12.76,2.23,mujer,si,sabado,cena,2
210,30.06,2.0,hombre,si,sabado,cena,3
211,25.89,5.16,hombre,si,sabado,cena,4
212,48.33,9.0,hombre,no,sabado,cena,4
213,13.27,2.5,mujer,si,sabado,cena,2
214,28.17,6.5,mujer,si,sabado,cena,3
215,12.9,1.1,mujer,si,sabado,cena,2
216,28.15,3.0,hombre,si,sabado,cena,5
217,11.59,1.5,hombre,si,sabado,cena,2
218,7.74,1.44,hombre,si,sabado,cena,2
219,30.14,3.09,mujer,si,sabado,cena,4
220,12.16,2.2,hombre,si,viernes,almuerzo,2
221,13.42,3.48,mujer,si,viernes,almuerzo,2
222,8.58,1.92,hombre,si,viernes,almuerzo,1
223,15.98,3.0,mujer,no,viernes,almuerzo,3
224,13.42,1.58,hombre,si,viernes,almuerzo,2
225,16.27,2.5,mujer,si,viernes,almuerzo,2
226,10.09,2.0,mujer,si,viernes,almuerzo,2
227,20.45,3.0,hombre,no,sabado,cena,4
228,13.28,2.72,hombre,no,sabado,cena,2
229,22.12,2.88,mujer,si,sabado,cena,2
230,24.01,2.0,hombre,si,sabado,cena,4
231,15.69,3.0,hombre,si,sabado,cena,3
232,11.61,3.39,hombre,no,sabado,cena,2
233,10.77,1.47,hombre,no,sabado,cena,2
234,15.53,3.0,hombre,si,sabado,cena,2
235,10.07,1.25,hombre,no,sabado,cena,2
236,12.6,1.0,hombre,si,sabado,cena,2
237,32.83,1.17,hombre,si,sabado,cena,2
238,35.83,4.67,mujer,no,sabado,cena,3
239,29.03,5.92,hombre,no,sabado,cena,3
240,27.18,2.0,mujer,si,sabado,cena,2
241,22.67,2.0,hombre,si,sabado,cena,2
242,17.82,1.75,hombre,no,sabado,cena,2
243,18.78,3.0,mujer,no,jueves,cena,2
